subject,metric,n,mean,median,std,ci95_low,ci95_high,t_test_pvalue_vs_zero,independent_events,interpretation_flag
Credit / Financing,return_30m_pct,27,0.04633388871240673,0.03186743148502231,1.0797635252568918,-0.3242008159685598,0.44257752708751563,0.8252991225455513,27,Eligible for statistical inference
Financial Results,return_30m_pct,142,-0.03170574140801043,0.059144487028628887,1.9758234154527468,-0.3571983853685085,0.2755775093075282,0.8486280890559414,142,Eligible for statistical inference
Investor / Analyst,return_30m_pct,261,0.0916547454896466,0.045345598238002556,1.2029349339544964,-0.05393145351094553,0.24251098698206652,0.21946169982963384,261,Eligible for statistical inference
Other,return_30m_pct,167,0.5676674610808882,0.1507537688442211,1.9565985028704265,0.2864154422338783,0.8587551908915175,0.00024456696319044666,167,Eligible for statistical inference
Regulatory / Compliance,return_30m_pct,453,0.1032073605814222,0.06206896551724765,0.8833551716505587,0.024871312269778872,0.17509322325749294,0.013253106792237323,453,Eligible for statistical inference
Board / Management,return_60m_pct,180,-0.10843116209220101,-0.05729619547867151,1.3781060118417259,-0.31421920471761833,0.08548489984908814,0.29256439375994986,180,Eligible for statistical inference
Business / Strategic,return_60m_pct,199,0.522889457219674,0.39665970772442904,1.7629601815267006,0.30397385027324086,0.7604370574628199,4.302772404535057e-05,199,Eligible for statistical inference
Corporate Actions,return_60m_pct,141,0.08823327580727111,0.013178703215606583,1.1962862878266416,-0.09706532461098367,0.3003526087343719,0.38263686224698634,141,Eligible for statistical inference
Credit / Financing,return_60m_pct,27,0.143569304938974,0.03989945337748872,1.3587317303942237,-0.3107302675914939,0.654314231134345,0.5876578130626303,27,Eligible for statistical inference
Financial Results,return_60m_pct,142,-0.12921330714647958,0.08142446946522161,2.150270083205011,-0.5045405408224085,0.19512646944583714,0.47512941649006024,142,Eligible for statistical inference
Investor / Analyst,return_60m_pct,261,0.09291114906818658,0.02484472049690006,1.3277326575997503,-0.06723478765074206,0.2631444546245321,0.2592998369206009,261,Eligible for statistical inference
Other,return_60m_pct,167,0.5045623048023329,0.2688975201673242,2.155771896447398,0.1853055695184849,0.8431801268312303,0.0028855619497320964,167,Eligible for statistical inference
Regulatory / Compliance,return_60m_pct,453,0.10492315617565662,0.11278666610968788,0.9415567947694996,0.016619250484175722,0.1875102504095781,0.01812076252377574,453,Eligible for statistical inference
Board / Management,d0_return_pct,180,-0.09820709974280813,-0.10165389763292582,1.6622615302298207,-0.33742620404553303,0.1365528944642588,0.42903285427814275,180,Eligible for statistical inference
Business / Strategic,d0_return_pct,199,0.5082938952249497,0.3076923076923077,2.8063397750927193,0.15606128816668813,0.882239871269535,0.01136800736490938,199,Eligible for statistical inference
Corporate Actions,d0_return_pct,141,0.04810589342559693,-0.028727377190469038,1.5079640080264334,-0.20726823867369845,0.3142238594159255,0.7054057795128095,141,Eligible for statistical inference
Credit / Financing,d0_return_pct,27,0.3718814903412368,0.3276735180220435,1.5121726214086537,-0.1487972404183382,0.9184423687910719,0.21258879179511816,27,Eligible for statistical inference
Financial Results,d0_return_pct,142,-0.054656715061195474,-0.12249968464090527,2.722330287580199,-0.49566191859002584,0.36256138036729535,0.8112613098437352,142,Eligible for statistical inference
Investor / Analyst,d0_return_pct,261,0.016080700075791654,-0.06578947368421052,1.700916387753521,-0.18849370312826091,0.22952591157874777,0.8787247040701823,261,Eligible for statistical inference
Other,d0_return_pct,167,0.441218386940319,0.330231161813259,2.3290840409044575,0.09489000164355597,0.8204529648984208,0.015402617122217327,167,Eligible for statistical inference
Regulatory / Compliance,d0_return_pct,453,0.06028212913761243,0.06546216286986123,1.4296676243982605,-0.07826275611877338,0.18571343645289853,0.36996504063730706,453,Eligible for statistical inference
Board / Management,volume_change_30m_pct,174,60.54084220415173,6.817999984432321,281.934039511073,27.64548267479662,102.7914525259657,0.005166469643409351,180,Eligible for statistical inference
Business / Strategic,volume_change_30m_pct,194,132.0743640291742,41.47612838893566,319.1651685396559,92.58224814649458,181.70589896826968,3.2135339619557725e-08,199,Eligible for statistical inference
Corporate Actions,volume_change_30m_pct,136,58.62732967190929,15.655949956973902,190.14598068804221,32.375430604718055,96.40053478682943,0.0004525981035884076,141,Eligible for statistical inference
Credit / Financing,volume_change_30m_pct,27,21.51574231035475,-21.27214261657744,89.2837706687522,-9.082363737050096,56.42882962828044,0.22165275721458041,27,Eligible for statistical inference
Financial Results,volume_change_30m_pct,141,537.6378134005668,100.01323863132536,1174.250305769357,343.4501342579165,733.2524029792047,2.347586714400448e-07,142,Eligible for statistical inference
Investor / Analyst,volume_change_30m_pct,256,133.08102344906553,14.238727633491997,727.1179276496036,66.07355854452442,229.38346351511973,0.00371515845476338,261,Eligible for statistical inference
Other,volume_change_30m_pct,167,181.27297601078422,59.604993085593925,402.53066620470065,130.1600920931983,247.58183935052517,2.9661505610840505e-08,167,Eligible for statistical inference
Regulatory / Compliance,volume_change_30m_pct,440,71.14344358179942,25.21525248765687,174.78252126042335,55.12151078665607,88.2711753465674,2.253246148705355e-16,453,Eligible for statistical inference
Board / Management,range_30m_pct,180,1.3365422566554905,1.0744129453083977,1.1279564336532646,1.1770001301196602,1.5210171094180178,4.66165645004045e-36,180,Eligible for statistical inference
Business / Strategic,range_30m_pct,199,1.7466172977640235,1.3029525032092348,1.582571287096489,1.5399064254501942,1.9626726852488765,3.239736961869685e-36,199,Eligible for statistical inference
Corporate Actions,range_30m_pct,141,1.0701463492703802,0.8426374552348853,0.7349927974260576,0.9536742139948317,1.1888607655787973,1.4887823060311319e-36,141,Eligible for statistical inference
Credit / Financing,range_30m_pct,27,1.2326741370422056,0.762079559510031,1.134064064913789,0.8488251623843325,1.649869834967455,6.133521610800791e-06,27,Eligible for statistical inference
Financial Results,range_30m_pct,142,2.0299928359290043,1.5527859848008294,1.5817365722207757,1.7684710767438385,2.281512741407216,9.70588797531986e-32,142,Eligible for statistical inference
Investor / Analyst,range_30m_pct,261,1.189162943294832,0.8386461854434896,1.0577567852731313,1.0637095599225381,1.3321884855433446,3.685703173842363e-48,261,Eligible for statistical inference
Other,range_30m_pct,167,1.887464479770349,1.3815133851173305,1.6628590940909451,1.657488332370996,2.1492138431365984,8.921144944745616e-32,167,Eligible for statistical inference
Regulatory / Compliance,range_30m_pct,453,0.984981563906904,0.7908290413690042,0.7406705544889441,0.9221834199051877,1.0572315171214965,3.843435916297424e-102,453,Eligible for statistical inference
