stock,subject,n,mean_30m_return_pct,median_30m_return_pct,std_30m_return_pct,ci95_low,ci95_high,mean_30m_volume_change_pct
Hindustan Aeronautics Ltd,Regulatory / Compliance,61,0.1790990870283881,0.019265701546755602,0.8941131000859928,-0.0372468877901138,0.4042202827996903,70.0666584508397
Rail Vikas Nigam Ltd,Board / Management,47,-0.43839450774090566,-0.21336178157087918,1.8158666457641808,-0.9544113614629691,0.037604725230812444,21.328986735064596
Rail Vikas Nigam Ltd,Business / Strategic,77,0.8221724157102879,0.4510556621881042,2.4021945014650057,0.29891963459377,1.411376406573121,189.0432196032797
Rail Vikas Nigam Ltd,Corporate Actions,5,1.6725476535806092,2.028003613369458,1.7506435548061767,0.4039584251595924,2.950588235294112,178.55530454626012
Rail Vikas Nigam Ltd,Credit / Financing,4,1.39546074521266,0.9066611941094012,1.4450393603141964,0.47595491872108153,2.9019640476563575,24.32272861754545
Rail Vikas Nigam Ltd,Financial Results,28,-0.8031051709400864,-0.24354719043770484,2.9646266858340757,-1.83348651926932,0.1854925702250908,145.42989237887318
Rail Vikas Nigam Ltd,Investor / Analyst,33,0.38321752102088436,0.17571261226083115,1.8820299377683685,-0.14939194550007323,1.0552705628476329,99.49806575447475
Rail Vikas Nigam Ltd,Other,77,0.8804466850893193,0.30630105017503245,2.28258075729256,0.3816323078218,1.3996215899234152,234.96280289377606
Rail Vikas Nigam Ltd,Regulatory / Compliance,35,0.12254798564401856,0.10338207059517528,1.494791376467298,-0.39232218642031347,0.6054657212520184,101.26317266562188
Reliance Industries Ltd,Board / Management,36,0.23031065411903923,0.16736321811727814,0.7053574842621031,-0.008565679290702176,0.44562870158970097,158.46940706621044
Reliance Industries Ltd,Business / Strategic,80,0.31354617068714363,0.2373664969278287,0.8441347431483021,0.13776618620262823,0.4954392605257748,83.82576722307724
Reliance Industries Ltd,Corporate Actions,14,0.22367433921318788,0.16441011031290886,0.7243235400916006,-0.10842237163995469,0.5945304711117515,46.09811688940051
Reliance Industries Ltd,Credit / Financing,12,-0.010796949458085403,-0.00040348406144615975,0.4302799662324055,-0.2620563042937148,0.21455031045539308,-19.788338354605855
Reliance Industries Ltd,Financial Results,24,-0.038183580825116394,-0.08356677589330366,1.3527125363085213,-0.5661256746725214,0.5021346809885825,161.76692204357826
Reliance Industries Ltd,Investor / Analyst,99,-0.020265426378542128,0.06542124009594123,0.8355125036381753,-0.18359990162897546,0.1329330398458774,31.05121929311473
Reliance Industries Ltd,Other,15,-0.517521099112002,-0.41984732824427484,0.9589345994172042,-0.992034706927216,-0.07657115789671559,43.603334758950645
Reliance Industries Ltd,Regulatory / Compliance,185,0.11092566111573107,0.1265173533937363,0.7516769889460772,-0.0018139958343495312,0.21909099109668664,46.08586607721814
